symbol,buy_date,sell_date,buy_price,sell_price,qty,roi,pnl,holding_days,peak_profit_percent,peak_drawdown_percent,peak_price,bottom_price
ADANIENT,2019-01-11,2019-02-11,151.5,118.2,165,-21.98,-5494.5,31,0.0,-21.98,151.5,118.2
ADANIENT,2019-11-13,2020-01-27,198.2,230.55,177,16.322,5725.95,75,16.322,0.0,230.55,198.2
ADANIENT,2020-08-11,2021-12-13,195.85,1719.55,191,777.993,291026.7,489,800.204,0.0,1763.05,195.85
ADANIENT,2022-07-19,2022-12-19,2451.3,4075.3,39,66.251,63336.0,153,66.251,-0.008,4075.3,2451.1
ADANIPORTS,2024-02-13,2024-07-10,1264.8,1487.8,101,17.631,22523.0,148,25.233,-4.368,1583.95,1209.55
APOLLOHOSP,2019-10-15,2019-12-10,1483.75,1373.95,20,-7.4,-2196.0,56,3.575,-7.4,1536.8,1373.95
APOLLOHOSP,2020-04-28,2020-07-10,1426.45,1402.45,25,-1.682,-600.0,73,0.775,-11.245,1437.5,1266.05
APOLLOHOSP,2020-10-13,2021-10-11,2254.45,4377.15,17,94.156,36085.9,363,125.518,-9.805,5084.2,2033.4
ASIANPAINT,2019-01-11,2019-02-11,1403.65,1437.1,17,2.383,568.65,31,4.902,-2.244,1472.45,1372.15
ASIANPAINT,2019-03-12,2019-05-06,1428.1,1412.8,16,-1.071,-244.8,55,6.386,-1.278,1519.3,1409.85
ASIANPAINT,2019-10-15,2020-01-27,1803.1,1788.35,16,-0.818,-236.0,104,2.532,-6.675,1848.75,1682.75
ASIANPAINT,2020-04-28,2020-08-10,1824.4,1782.35,20,-2.305,-841.0,104,0.0,-17.778,1824.4,1500.05
ASIANPAINT,2020-11-11,2021-02-10,2181.7,2510.6,17,15.075,5591.3,91,30.6,-1.256,2849.3,2154.3
ASIANPAINT,2026-01-13,2026-01-19,2896.4,2754.0,133,-4.916,-18939.2,6,0.0,-4.916,2896.4,2754.0
AXISBANK,2019-01-11,2019-02-11,666.5,710.85,37,6.654,1640.95,31,9.55,-1.53,730.15,656.3
AXISBANK,2019-03-12,2019-05-06,742.55,747.45,32,0.66,156.8,55,5.138,-1.003,780.7,735.1
BAJAJ-AUTO,2023-04-25,2023-08-10,4342.55,4629.05,27,6.598,7735.5,107,13.689,-1.003,4937.0,4299.0
BAJAJ-AUTO,2023-11-12,2024-10-21,5442.55,10500.5,21,92.933,106216.95,344,132.729,-0.319,12666.4,5425.2
BAJAJFINSV,2019-01-11,2019-02-11,637.17,609.63,39,-4.322,-1074.06,31,2.166,-5.689,650.97,600.92
BAJAJFINSV,2019-03-12,2019-05-06,686.09,766.8,35,11.764,2824.85,55,12.541,0.0,772.13,686.09
BAJAJFINSV,2019-12-11,2020-01-27,907.91,955.76,27,5.27,1291.95,47,7.004,-0.401,971.5,904.27
BAJAJFINSV,2021-08-11,2021-12-13,1420.62,1732.4,39,21.947,12159.42,124,34.284,0.0,1907.66,1420.62
BAJAJFINSV,2025-04-22,2025-07-28,2077.0,1977.8,159,-4.776,-15772.8,97,1.348,-6.403,2105.0,1944.0
